song,artist,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,id,uri,uri,track_href,time_signature,song,artist,album_name,album_id,duration_ms,duration_ms,explicit,popularity
Coral,Downhill2k01,Coral,5Gwtv36DyIyAp7TlxPBzDX,0.693,0.96,8.0,-4.767,1.0,0.158,0.104,0.938,0.073,0.291,159.897,6g36xf3cNXtLQVavarqHfH,6g36xf3cNXtLQVavarqHfH,spotify:track:6g36xf3cNXtLQVavarqHfH,spotify:track:6g36xf3cNXtLQVavarqHfH,https://api.spotify.com/v1/tracks/6g36xf3cNXtLQVavarqHfH,4.0,Coral,Downhill2k01,Coral,5Gwtv36DyIyAp7TlxPBzDX,60029.0,60028,False,24
heartbroken,CORBAL,heartbroken,3mMpN01jTwvtbROtV2LDM1,0.671,0.168,9.0,-22.507,1.0,0.0509,0.841,0.0282,0.265,0.297,99.987,1wxtyjR9EcrD8BYYKkmwNz,1wxtyjR9EcrD8BYYKkmwNz,spotify:track:1wxtyjR9EcrD8BYYKkmwNz,spotify:track:1wxtyjR9EcrD8BYYKkmwNz,https://api.spotify.com/v1/tracks/1wxtyjR9EcrD8BYYKkmwNz,4.0,heartbroken,CORBAL,heartbroken,3mMpN01jTwvtbROtV2LDM1,76800.0,76800,False,60
EL CORRAL DE PIEDRA,Los Hermanos Coria De Michoacan,Los Mejores 18 Exitos,2tJzaMsclZH4Depdzpk6ZN,0.684,0.744,7.0,-5.086,1.0,0.0424,0.608,0.0,0.163,0.949,123.206,4ZCDN7ot24WSz7p0JUJEst,4ZCDN7ot24WSz7p0JUJEst,spotify:track:4ZCDN7ot24WSz7p0JUJEst,spotify:track:4ZCDN7ot24WSz7p0JUJEst,https://api.spotify.com/v1/tracks/4ZCDN7ot24WSz7p0JUJEst,4.0,EL CORRAL DE PIEDRA,Los Hermanos Coria De Michoacan,Los Mejores 18 Exitos,2tJzaMsclZH4Depdzpk6ZN,184600.0,184600,False,16
i know you so well,CORBAL,desolated,7vM4D8AOkgWZIwblFTJi4L,0.625,0.0285,10.0,-20.674,0.0,0.0427,0.969,0.442,0.122,0.509,102.895,5UZvoOgokmRVUI9KPkLWMT,5UZvoOgokmRVUI9KPkLWMT,spotify:track:5UZvoOgokmRVUI9KPkLWMT,spotify:track:5UZvoOgokmRVUI9KPkLWMT,https://api.spotify.com/v1/tracks/5UZvoOgokmRVUI9KPkLWMT,3.0,i know you so well,CORBAL,desolated,7vM4D8AOkgWZIwblFTJi4L,47225.0,47225,False,58
Esta Cobardia,Banda Koralillo,Lagrimas de Escarcha,5jZMLFjBZ0trKdJBnhjVhE,0.84,0.657,7.0,-10.415,0.0,0.114,0.508,0.0,0.0971,0.8,113.796,2N5GJoTlya37DpYI0zSNJH,2N5GJoTlya37DpYI0zSNJH,spotify:track:2N5GJoTlya37DpYI0zSNJH,spotify:track:2N5GJoTlya37DpYI0zSNJH,https://api.spotify.com/v1/tracks/2N5GJoTlya37DpYI0zSNJH,4.0,Esta Cobardia,Banda Koralillo,Lagrimas de Escarcha,5jZMLFjBZ0trKdJBnhjVhE,177006.0,177005,False,16
Hesitations,LRN Slime,17,7jnbLDJi3YQbUY5a45AkdT,0.777,0.453,0.0,-13.16,0.0,0.141,0.345,0.849,0.0954,0.635,146.043,4ya3eB3y8fZMvZONSRG78U,4ya3eB3y8fZMvZONSRG78U,spotify:track:4ya3eB3y8fZMvZONSRG78U,spotify:track:4ya3eB3y8fZMvZONSRG78U,https://api.spotify.com/v1/tracks/4ya3eB3y8fZMvZONSRG78U,4.0,Hesitations,LRN Slime,17,7jnbLDJi3YQbUY5a45AkdT,197354.0,197354,False,56
El Coralillo,El Cartel Del Corrido,Recordando El Parral Vol.4,4WBwDiumpfpGvWQZvWz9sk,0.687,0.727,3.0,-9.238,1.0,0.0653,0.139,0.0,0.15,0.695,111.779,0dxz3psKbiLALtOe7H6BMp,0dxz3psKbiLALtOe7H6BMp,spotify:track:0dxz3psKbiLALtOe7H6BMp,spotify:track:0dxz3psKbiLALtOe7H6BMp,https://api.spotify.com/v1/tracks/0dxz3psKbiLALtOe7H6BMp,3.0,El Coralillo,El Cartel Del Corrido,Recordando El Parral Vol.4,4WBwDiumpfpGvWQZvWz9sk,191478.0,191477,False,15
You Know That I Don't Play,CORBAL,Love Is the Same as Sadness,4JcORch57yBGLItxgest7E,0.476,0.563,7.0,-13.965,1.0,0.469,0.956,0.0173,0.123,0.376,79.463,0chYhbmecFWGmfysKa3vO5,0chYhbmecFWGmfysKa3vO5,spotify:track:0chYhbmecFWGmfysKa3vO5,spotify:track:0chYhbmecFWGmfysKa3vO5,https://api.spotify.com/v1/tracks/0chYhbmecFWGmfysKa3vO5,4.0,You Know That I Don't Play,CORBAL,Love Is the Same as Sadness,4JcORch57yBGLItxgest7E,72676.0,72676,False,56
Cobra Coral - The Juju Orchestra Rmx,The Dining Rooms,Ink Ep 1,0LSQcYbMdHawJEB4tbLUet,0.762,0.841,6.0,-5.587,1.0,0.0419,0.252,0.629,0.0372,0.858,102.02,5Cqng7eQ0vziqMWZcniAcm,5Cqng7eQ0vziqMWZcniAcm,spotify:track:5Cqng7eQ0vziqMWZcniAcm,spotify:track:5Cqng7eQ0vziqMWZcniAcm,https://api.spotify.com/v1/tracks/5Cqng7eQ0vziqMWZcniAcm,4.0,Cobra Coral - The Juju Orchestra Rmx,The Dining Rooms,Ink Ep 1,0LSQcYbMdHawJEB4tbLUet,338053.0,338053,False,17
so low - Slowed,GenriX,"unfortunately yours,",1fm7CNqCCdnqOoxdb23VTs,0.485,0.364,10.0,-12.011,0.0,0.267,0.821,0.0,0.075,0.259,80.266,3MHBUYYTE6kD43mA6l07Xf,3MHBUYYTE6kD43mA6l07Xf,spotify:track:3MHBUYYTE6kD43mA6l07Xf,spotify:track:3MHBUYYTE6kD43mA6l07Xf,https://api.spotify.com/v1/tracks/3MHBUYYTE6kD43mA6l07Xf,4.0,so low - Slowed,GenriX,"unfortunately yours,",1fm7CNqCCdnqOoxdb23VTs,235042.0,235042,False,55
Coral Blue,Converge,All We Love We Leave Behind (Deluxe Edition),28DI3wfImTqTrHkPiOa0PI,0.257,0.946,9.0,-4.689,1.0,0.0964,0.000126,0.684,0.244,0.156,104.872,0d8kWyO18hOP1y4611zNG6,0d8kWyO18hOP1y4611zNG6,spotify:track:0d8kWyO18hOP1y4611zNG6,spotify:track:0d8kWyO18hOP1y4611zNG6,https://api.spotify.com/v1/tracks/0d8kWyO18hOP1y4611zNG6,4.0,Coral Blue,Converge,All We Love We Leave Behind (Deluxe Edition),28DI3wfImTqTrHkPiOa0PI,288253.0,288252,False,22
So Innocent,LRN Slime,SKINS,4dKooLhu8Kbd3hnc13svUD,0.859,0.301,5.0,-18.406,0.0,0.305,0.806,0.935,0.15,0.733,137.472,6en8V3oqGW2dhaK5s0k4GG,6en8V3oqGW2dhaK5s0k4GG,spotify:track:6en8V3oqGW2dhaK5s0k4GG,spotify:track:6en8V3oqGW2dhaK5s0k4GG,https://api.spotify.com/v1/tracks/6en8V3oqGW2dhaK5s0k4GG,4.0,So Innocent,LRN Slime,SKINS,4dKooLhu8Kbd3hnc13svUD,94624.0,94624,False,55
The Coral Atoll,Hans Zimmer,The Thin Red Line,7wPDOZ30toNEBkr5uBIANF,0.062,0.0706,4.0,-26.935,0.0,0.0329,0.895,0.895,0.113,0.04,67.419,5fCzoyEoEWlvFSJjUn2Mb0,5fCzoyEoEWlvFSJjUn2Mb0,spotify:track:5fCzoyEoEWlvFSJjUn2Mb0,spotify:track:5fCzoyEoEWlvFSJjUn2Mb0,https://api.spotify.com/v1/tracks/5fCzoyEoEWlvFSJjUn2Mb0,3.0,The Coral Atoll,Hans Zimmer,The Thin Red Line,7wPDOZ30toNEBkr5uBIANF,480096.0,480266,False,26
Tried to Be Patient with You,CORBAL,Love Is the Same as Sadness,4JcORch57yBGLItxgest7E,0.793,0.158,6.0,-18.91,0.0,0.123,0.927,0.0992,0.355,0.63,109.649,6oQvlgt4C8sAPP4X7N0rFQ,6oQvlgt4C8sAPP4X7N0rFQ,spotify:track:6oQvlgt4C8sAPP4X7N0rFQ,spotify:track:6oQvlgt4C8sAPP4X7N0rFQ,https://api.spotify.com/v1/tracks/6oQvlgt4C8sAPP4X7N0rFQ,4.0,Tried to Be Patient with You,CORBAL,Love Is the Same as Sadness,4JcORch57yBGLItxgest7E,78663.0,78662,False,54
The Coral Tower,Joe Hisaishi,Ponyo on the Cliff by the Sea Image Album,6bV3GjpvWu7Zf48GmSAnU3,0.206,0.211,9.0,-13.038,1.0,0.0331,0.837,0.498,0.276,0.0559,77.199,764vHxLE90itHeO5qBBlTp,764vHxLE90itHeO5qBBlTp,spotify:track:764vHxLE90itHeO5qBBlTp,spotify:track:764vHxLE90itHeO5qBBlTp,https://api.spotify.com/v1/tracks/764vHxLE90itHeO5qBBlTp,3.0,The Coral Tower,Joe Hisaishi,Ponyo on the Cliff by the Sea Image Album,6bV3GjpvWu7Zf48GmSAnU3,159960.0,159960,False,22
