song,artist,album_name,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,id,uri,uri,track_href,time_signature,song,artist,album_name,album_id,duration_ms,duration_ms,explicit,popularity
Miguel Ángel,Los Dareyes De La Sierra,Miguel Ángel,0XiTVbx22tB1hJMZiH0QX6,0.839,0.6,10,-4.511,1,0.0542,0.521,0.0,0.287,0.976,120.102,3GwaJCRZYlQWDASiqQt8O1,3GwaJCRZYlQWDASiqQt8O1,spotify:track:3GwaJCRZYlQWDASiqQt8O1,spotify:track:3GwaJCRZYlQWDASiqQt8O1,https://api.spotify.com/v1/tracks/3GwaJCRZYlQWDASiqQt8O1,3,Miguel Ángel,Los Dareyes De La Sierra,Miguel Ángel,0XiTVbx22tB1hJMZiH0QX6,164778,164777,False,37
Sky Walker (feat. Travis Scott),Miguel,War & Leisure,782Bl0XeXnhcezEfKvUx9O,0.675,0.505,6,-10.536,1,0.0434,0.173,1.16e-06,0.0867,0.178,145.974,7hT7wKc2gYxx27OSd7i1py,7hT7wKc2gYxx27OSd7i1py,spotify:track:7hT7wKc2gYxx27OSd7i1py,spotify:track:7hT7wKc2gYxx27OSd7i1py,https://api.spotify.com/v1/tracks/7hT7wKc2gYxx27OSd7i1py,4,Sky Walker (feat. Travis Scott),Miguel,War & Leisure,782Bl0XeXnhcezEfKvUx9O,259333,259333,False,45
waves - Tame Impala Remix,Miguel,Rogue Waves,4sJXyIfwduIWFISb4iCq2f,0.529,0.894,2,-3.599,1,0.0412,0.308,5.38e-06,0.254,0.543,108.024,3lB0GMiI5KxDbTOG8V3bOx,3lB0GMiI5KxDbTOG8V3bOx,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,https://api.spotify.com/v1/tracks/3lB0GMiI5KxDbTOG8V3bOx,4,waves - Tame Impala Remix,Miguel,Rogue Waves,4sJXyIfwduIWFISb4iCq2f,253347,253346,False,65
destinado a morir,Miguel,Wildheart (Deluxe Version),6W8ZsoinSMViZMh9aYK7gQ,0.8,0.336,2,-8.116,1,0.0459,0.0101,0.000151,0.0807,0.104,125.994,0bDd5b2Mh9zDcrtj8dnYqt,0bDd5b2Mh9zDcrtj8dnYqt,spotify:track:0bDd5b2Mh9zDcrtj8dnYqt,spotify:track:0bDd5b2Mh9zDcrtj8dnYqt,https://api.spotify.com/v1/tracks/0bDd5b2Mh9zDcrtj8dnYqt,4,destinado a morir,Miguel,Wildheart (Deluxe Version),6W8ZsoinSMViZMh9aYK7gQ,181440,181440,False,34
La Bolsa Gucci,miguel cornejo,La Bolsa Gucci,1LMGPTkDnylJGOiojhF11C,0.685,0.808,1,-4.124,0,0.0762,0.326,0.0,0.373,0.869,141.988,7KBTLsYW2sI42vdlVP079C,7KBTLsYW2sI42vdlVP079C,spotify:track:7KBTLsYW2sI42vdlVP079C,spotify:track:7KBTLsYW2sI42vdlVP079C,https://api.spotify.com/v1/tracks/7KBTLsYW2sI42vdlVP079C,3,La Bolsa Gucci,miguel cornejo,La Bolsa Gucci,1LMGPTkDnylJGOiojhF11C,136121,136120,True,77
Corazón (Pearlydumm),Miguel Gallardo,Serie Platino,3S2i4euT0ijtedBwopYJ1Q,0.53,0.495,2,-11.069,1,0.0233,0.198,1.88e-06,0.0967,0.52,84.046,6X9OWTB4cV9XbIvk1MW8nY,6X9OWTB4cV9XbIvk1MW8nY,spotify:track:6X9OWTB4cV9XbIvk1MW8nY,spotify:track:6X9OWTB4cV9XbIvk1MW8nY,https://api.spotify.com/v1/tracks/6X9OWTB4cV9XbIvk1MW8nY,4,Corazón (Pearlydumm),Miguel Gallardo,Serie Platino,3S2i4euT0ijtedBwopYJ1Q,208053,208053,False,50
Vixen,Miguel,All I Want Is You,493HYe7N5pleudEZRyhE7R,0.427,0.499,0,-6.213,0,0.0601,0.392,0.0,0.389,0.338,82.523,3HBZIY3FVzXu6YjhExNqWe,3HBZIY3FVzXu6YjhExNqWe,spotify:track:3HBZIY3FVzXu6YjhExNqWe,spotify:track:3HBZIY3FVzXu6YjhExNqWe,https://api.spotify.com/v1/tracks/3HBZIY3FVzXu6YjhExNqWe,4,Vixen,Miguel,All I Want Is You,493HYe7N5pleudEZRyhE7R,181533,181533,False,62
Now,Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,0.451,0.518,0,-9.149,1,0.116,0.716,0.0,0.102,0.411,111.827,5XN9jwDlXAZ8j5nMcK7S1d,5XN9jwDlXAZ8j5nMcK7S1d,spotify:track:5XN9jwDlXAZ8j5nMcK7S1d,spotify:track:5XN9jwDlXAZ8j5nMcK7S1d,https://api.spotify.com/v1/tracks/5XN9jwDlXAZ8j5nMcK7S1d,4,Now,Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,249640,249640,False,40
Banana Clip,Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,0.638,0.708,1,-5.342,0,0.0754,0.0973,0.0,0.177,0.606,84.978,6xagjcywpcyNFghafZPQJv,6xagjcywpcyNFghafZPQJv,spotify:track:6xagjcywpcyNFghafZPQJv,spotify:track:6xagjcywpcyNFghafZPQJv,https://api.spotify.com/v1/tracks/6xagjcywpcyNFghafZPQJv,4,Banana Clip,Miguel,War & Leisure,05LEST8E8mkEIl2LRfUkcI,201627,201626,False,61
How Many Drinks? (feat. Kendrick Lamar),Miguel,How Many Drinks? (feat. Kendrick Lamar),06ueBR3xyEH7vWPBx8ZCVa,0.425,0.6,0,-7.016,0,0.159,0.0033,4.05e-05,0.127,0.24,88.767,2dDCkXBbVDI4YR21lrQRK6,2dDCkXBbVDI4YR21lrQRK6,spotify:track:2dDCkXBbVDI4YR21lrQRK6,spotify:track:2dDCkXBbVDI4YR21lrQRK6,https://api.spotify.com/v1/tracks/2dDCkXBbVDI4YR21lrQRK6,4,How Many Drinks? (feat. Kendrick Lamar),Miguel,How Many Drinks? (feat. Kendrick Lamar),06ueBR3xyEH7vWPBx8ZCVa,270160,270160,True,48
